order_id,date,customer_id,product,category,quantity,unit_price,total_price,payment_method
1001,2024-01-03,501,Wireless Mouse,Electronics,2,25.99,51.98,Credit Card
1002,2024-01-04,502,Running Shoes,Sports,1,89.99,89.99,PayPal
1003,2024-01-05,503,Water Bottle,Sports,3,12.50,37.50,Credit Card
1004,2024-01-05,504,LED Monitor,Electronics,1,149.99,149.99,Debit Card
1005,2024-01-06,505,Coffee Maker,Home,1,79.99,79.99,Credit Card
1006,2024-01-06,501,Notebook,Office,5,3.50,17.50,Cash
1007,2024-01-06,502,Desk Chair,Office,1,129.99,129.99,Credit Card
1008,2024-01-07,506,Gaming Keyboard,Electronics,1,99.99,99.99,PayPal
1009,2024-01-07,507,Pencil Pack,Office,10,1.20,12.00,NULL
1010,2024-01-08,508,Blender,Home,1,59.99,59.99,Credit Card
1011,2024-01-08,509,Baseball Cap,Sports,2,15.00,30.00,Debit Card
1012,2024-01-08,510,Desk Lamp,Home,1,24.99,24.99,Credit Card
1013,2024-01-09,503,Headphones,Electronics,1,49.99,49.99,PayPal
1014,2024-01-09,511,Wireless Mouse,Electronics,2,25.99,51.98,Cash
1015,2024-01-09,501,Stapler,Office,1,6.99,6.99,Credit Card
1016,2024-01-10,506,Blender,Home,1,59.99,59.99,NULL
1017,2024-01-10,509,T-Shirt,Clothing,3,19.99,59.97,Credit Card
